"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","nFORCE__App__c","nFORCE__Body__c","nFORCE__Group__c","nFORCE__Icon_Class__c","nFORCE__Is_Hidden__c","nFORCE__Navigation__c","nFORCE__Order__c","nFORCE__Parent_App__c","nFORCE__Screen__c","nFORCE__Sub_Navigation__c","nFORCE__Toolbar__c","nFORCE__Topbar__c","nFORCE__lookupKey__c","AutorabitExtId__c","nFORCE__Parameters__c","nFORCE__Body_Type__c","nFORCE__Description__c"
"a2E5e000000Hv8OEAS","0055e000003ZErQAAW","","HMDA Eligibility","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:03:53.000Z","0055e000003ZErQAAW","","","","","","hmda-eligibility-m","llc_bi__Questionnaire_Loan_App","","n-icon-hmda","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","4295025858547960","","","",""
"a2E5e000000Hv8PEAS","0055e000003ZErQAAW","","Reg O","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:03:53.000Z","0055e000003ZErQAAW","","","","","","RegO-kyc-m","llc_bi__Questionnaire_Loan_App","","n-icon-hmda","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","5036987463521","","","",""
"a2E5e000000Hv8QEAS","0055e000003ZErQAAW","","Reg W","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:03:53.000Z","0055e000003ZErQAAW","","","","","","RegW-kyc-m","llc_bi__Questionnaire_Loan_App","","n-icon-hmda","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","84665003548646","","","",""
"a2E5e000000Hv8REAS","0055e000003ZErQAAW","","HVCRE","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:03:53.000Z","0055e000003ZErQAAW","","","","","","hvcre-m","llc_bi__Questionnaire_Loan_App","","n-icon-hmda","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","8466508432150","","","",""
"a2E5e000000Hv8SEAS","0055e000003ZErQAAW","","CRA","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:03:53.000Z","0055e000003ZErQAAW","","","","","","CRA-kyc-m","llc_bi__Questionnaire_Loan_App","","n-icon-hmda","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","846650843218496","","","",""
"a2E5e000000Hv8lEAC","0055e000003ZErQAAW","","Portal Dashboard","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","","","ptl-dashboard","nportal__dashboard","","","false","nportal__dashboardnavigation","","","","","","","42535068051304800","","","",""
"a2E5e000000Hv8mEAC","0055e000003ZErQAAW","","Product Explorer","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","","","ptl-explorer","nportal__productexplorer","","","false","nportal__dashboardnavigation","","","","","","","42597255124143900","","","",""
"a2E5e000000Hv90EAC","0055e000003ZErQAAW","","Total Exposure","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:03:14.000Z","0055e000003ZErQAAW","","","","","","pp-total-exposure","llc_bi__totalexposureproductpackage","","","false","nforce__navigation","","","a2G5e0000005UuQEAU","nforce__sub_navigation","","nforce__topbar","42591176087727500","","","",""
"a2E5e000000Hv91EAC","0055e000003ZErQAAW","","Syndications","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","","","pp-syndication","llc_bi__productpackagesyndications","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","42832394861101000","","","",""
"a2E5e000000Hv9pEAC","0055e000003ZErQAAW","","Loan Compliance","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:03:14.000Z","0055e000003ZErQAAW","","","","","","pp-tn-loan-compliance","nforce__ncdatagrid","","","false","nforce__navigation","","","a2G5e0000005UukEAE","nforce__sub_navigation","","nforce__topbar","42114819897507400","","","",""
